time	V(out1)-V(out2)	I(V5)
0.000000000000000e+000	5.164425e-008	5.164424e-009
7.142856940843350e-011	5.164425e-008	5.164423e-009
1.428571388168670e-010	5.164424e-008	5.164422e-009
2.142857082253005e-010	5.164424e-008	5.164421e-009
2.857142776337340e-010	5.164424e-008	5.164421e-009
3.571428470421675e-010	5.164424e-008	5.164422e-009
4.285714164506010e-010	5.164425e-008	5.164423e-009
4.999999858590343e-010	5.164425e-008	5.164424e-009
9.999999717180685e-010	5.164425e-008	5.164424e-009
1.999999943436137e-009	5.164425e-008	5.164424e-009
3.999999886872274e-009	5.164425e-008	5.164424e-009
7.393045152767097e-009	5.164425e-008	5.164424e-009
1.058250258138470e-008	5.164425e-008	5.164424e-009
1.243324129919117e-008	5.164425e-008	5.164422e-009
1.355957085566118e-008	5.164425e-008	5.164424e-009
1.406275082785627e-008	5.164425e-008	5.164424e-009
1.425859414110075e-008	5.164425e-008	5.164425e-009
1.438680584954321e-008	5.164425e-008	5.164425e-009
1.446030324541406e-008	5.164425e-008	5.164425e-009
1.452560165606418e-008	5.164425e-008	5.164425e-009
1.458818706715698e-008	5.164425e-008	5.164425e-009
1.466933169201388e-008	5.164425e-008	5.164426e-009
1.478892285154016e-008	5.164425e-008	5.164426e-009
1.495340606964002e-008	5.164425e-008	5.164425e-009
1.501317045435346e-008	5.164425e-008	5.164425e-009
1.505535740060516e-008	5.164425e-008	5.164423e-009
1.506126251361902e-008	5.164425e-008	5.164422e-009
1.511356494317044e-008	5.164425e-008	5.164418e-009
1.516586737272184e-008	5.164424e-008	5.164415e-009
1.521816980227325e-008	5.164424e-008	5.164414e-009
1.527047223182466e-008	5.164424e-008	5.164415e-009
1.532277466137608e-008	5.164424e-008	5.164416e-009
1.537507709092748e-008	5.164425e-008	5.164419e-009
1.542737952047889e-008	5.164425e-008	5.164424e-009
1.580530675336651e-008	5.164424e-008	5.164419e-009
1.588797833556067e-008	5.164425e-008	5.164432e-009
1.598246014378257e-008	5.164425e-008	5.164429e-009
1.617142376022638e-008	5.164425e-008	5.164425e-009
1.654935099311399e-008	5.164425e-008	5.164424e-009
1.730520545888921e-008	5.164425e-008	5.164425e-009
1.815769787985442e-008	5.164425e-008	5.164425e-009
1.879210506242903e-008	5.164425e-008	5.164343e-009
1.948610508940026e-008	5.164425e-008	5.161958e-009
2.006471290986088e-008	5.164425e-008	5.152710e-009
2.069202837009505e-008	5.164425e-008	5.128418e-009
2.135606243715848e-008	5.164425e-008	5.080400e-009
2.195856411398390e-008	5.164425e-008	5.005405e-009
2.246139804141336e-008	5.164425e-008	4.900473e-009
2.295685432749061e-008	5.164425e-008	4.730663e-009
2.345330828066789e-008	5.164425e-008	4.444111e-009
2.402800138939571e-008	5.164425e-008	3.819379e-009
2.480117838356039e-008	5.164425e-008	1.968708e-009
2.571183950516565e-008	5.164425e-008	-3.163279e-009
2.649699869168755e-008	5.164425e-008	-1.286125e-008
2.701385146313336e-008	5.164425e-008	-2.550472e-008
2.742780149851418e-008	5.164425e-008	-4.353620e-008
2.784015899035685e-008	5.164425e-008	-7.416271e-008
2.831386167586733e-008	5.164425e-008	-1.332289e-007
2.875558957238105e-008	5.164425e-008	-2.275188e-007
2.921746174733876e-008	5.164425e-008	-3.962743e-007
2.966912650813158e-008	5.164425e-008	-6.780270e-007
3.013047216124955e-008	5.164425e-008	-1.167400e-006
3.059239973901684e-008	5.164425e-008	-1.996713e-006
3.106506825693608e-008	5.164425e-008	-3.424685e-006
3.154717316184370e-008	5.164425e-008	-5.859539e-006
3.204726147845820e-008	5.164425e-008	-1.004641e-005
3.257079534092539e-008	5.164425e-008	-1.723388e-005
3.313296211332399e-008	5.164425e-008	-2.968905e-005
3.375622241378345e-008	5.164425e-008	-5.140762e-005
3.449448079128419e-008	5.164425e-008	-8.902948e-005
3.525660979938133e-008	5.164425e-008	-1.396836e-004
3.595434302284846e-008	5.164425e-008	-1.929346e-004
3.671594689442363e-008	5.164425e-008	-2.521112e-004
3.760987129747489e-008	5.164425e-008	-3.165161e-004
3.862813194806330e-008	5.164425e-008	-3.835353e-004
3.917371434623415e-008	5.164425e-008	-4.208895e-004
